Area;Perimeter;MajorAxisLength;MinorAxisLength;AspectRation;Eccentricity;ConvexArea;EquivDiameter;Extent;Solidity;roundness;Compactness;ShapeFactor1;ShapeFactor2;ShapeFactor3;ShapeFactor4;Class
31811;642092;2.24E+16;1.81E+16;1.24E+16;5.90E+15;32052;2.01E+15;7.74E+14;9.92E+15;9.70E+15;8.99E+15;7.04E+16;2.83E+15;8.07E+15;1.00E+16;SEKER
31821;649681;2.14E+16;1.90E+16;1.13E+16;4.58E+15;32168;2.01E+16;7.72E+15;9.89E+15;9.47E+15;9.42E+15;6.72E+16;3.26E+15;8.87E+15;9.98E+15;SEKER
31823;662532;2.23E+16;1.82E+16;1.23E+16;5.78E+15;32274;2.01E+16;7.75E+15;9.86E+15;9.11E+15;9.03E+15;7.00E+15;2.87E+15;8.16E+15;9.99E+15;SEKER
31837;6.56E+15;2.25E+16;1.80E+16;1.25E+16;5.97E+15;32238;2.01E+16;7.85E+15;9.88E+15;9.29E+15;8.95E+15;7.06E+16;2.80E+16;8.01E+15;9.99E+15;SEKER
31915;640718;2.16E+16;1.88E+15;1.15E+16;4.94E+15;32184;2.02E+15;7.78E+15;9.92E+15;9.77E+15;9.32E+15;6.78E+15;3.15E+16;8.68E+15;9.99E+15;SEKER
31972;6.40E+15;2.14E+16;1.91E+16;1.12E+16;4.52E+15;32246;2.02E+15;7.72E+15;9.92E+15;9.81E+15;;6.68E+15;3.28E+16;8.92E+14;9.99E+14;SEKER
31992;640338;2.13E+15;1.91E+16;1.11E+16;4.37E+15;32258;;7.74E+15;9.92E+15;;;6.65E+15;3.32E+15;8.99E+15;9.99E+15;SEKER
31994;654535;2.12E+16;1.92E+15;1.10E+16;4.21E+16;32391;2.02E+16;7.90E+15;9.88E+15;9.38E+15;;6.63E+16;3.35E+15;9.05E+15;9.98E+15;SEKER
32015;653676;2.13E+15;1.92E+16;1.11E+16;4.34E+16;32375;2.02E+15;7.62E+15;9.89E+15;9.42E+15;;6.65E+15;3.32E+16;8.99E+15;9.98E+15;SEKER
32026;654237;2.31E+16;1.77E+16;1.31E+16;6.43E+15;32349;2.02E+16;7.79E+15;9.90E+15;9.40E+15;8.74E+15;7.21E+15;2.60E+16;7.64E+15;9.98E+15;SEKER
32038;645085;2.24E+16;1.82E+16;1.23E+16;5.86E+15;32308;2.02E+16;7.71E+15;9.92E+15;9.67E+15;;7.01E+14;2.83E+16;8.09E+15;9.99E+15;SEKER
32044;652651;2.16E+16;1.89E+16;1.14E+16;4.85E+16;32395;2.02E+16;7.78E+14;9.89E+15;9.45E+15;9.34E+15;6.75E+15;3.17E+16;8.73E+15;9.99E+15;SEKER
32057;6.42E+15;2.16E+16;1.89E+15;1.14E+16;4.81E+15;32301;2.02E+16;7.80E+15;9.92E+15;9.77E+15;9.36E+15;6.74E+16;3.18E+15;8.75E+15;9.99E+15;SEKER
32066;669313;2.36E+15;1.73E+16;1.36E+14;6.81E+15;32481;2.02E+16;7.81E+14;9.87E+15;8.99E+15;;7.37E+15;2.43E+16;7.30E+15;9.97E+15;SEKER
32109;663582;2.24E+16;1.82E+16;1.23E+16;5.83E+15;32567;2.02E+16;7.68E+15;9.86E+15;9.16E+15;9.01E+15;6.99E+15;2.84E+16;8.11E+15;9.99E+15;SEKER
32114;648566;2.23E+16;1.84E+16;1.21E+16;5.64E+15;32393;2.02E+16;7.61E+15;9.91E+15;9.59E+15;9.08E+15;6.93E+15;2.91E+15;8.25E+15;9.99E+15;SEKER
32167;654893;2.18E+16;1.88E+15;1.16E+15;5.04E+15;32521;2.02E+16;7.61E+14;9.89E+15;9.42E+15;9.29E+15;6.78E+15;3.11E+15;8.62E+15;9.98E+15;SEKER
32213;658216;2.21E+15;1.85E+15;1.20E+15;5.48E+15;32585;2.03E+15;7.63E+15;9.89E+15;9.34E+15;;6.88E+15;2.96E+15;8.36E+15;9.99E+14;SEKER
32218;6.54E+15;2.23E+16;1.84E+15;1.21E+15;5.61E+15;32566;;7.54E+15;9.89E+15;;;6.91E+16;2.91E+15;8.27E+14;9.99E+15;SEKER
32233;6.65E+15;2.21E+16;1.86E+15;1.19E+16;5.44E+15;32710;2.03E+15;7.75E+15;9.85E+15;9.15E+15;9.16E+15;6.86E+15;2.98E+15;8.39E+12;1.00E+16;SEKER
32251;6.44E+15;2.21E+15;1.86E+16;1.19E+16;5.40E+14;32514;2.03E+16;7.64E+14;9.92E+15;9.77E+15;9.17E+15;6.85E+15;2.99E+15;8.41E+15;9.99E+15;SEKER
32258;654808;2.21E+16;1.86E+14;1.19E+16;5.37E+15;32612;2.03E+15;7.76E+15;9.89E+15;9.45E+15;9.18E+15;6.84E+16;3.00E+16;8.42E+15;9.99E+15;SEKER
32262;6.52E+15;2.23E+16;1.85E+15;1.21E+16;5.60E+15;32563;2.03E+16;7.81E+15;9.91E+15;9.52E+15;9.10E+15;6.90E+15;2.92E+15;8.28E+15;1.00E+16;SEKER
32279;6.47E+15;2.18E+15;1.89E+16;1.16E+15;5.03E+15;32623;2.03E+15;7.90E+15;9.89E+15;9.70E+15;;6.76E+15;3.11E+16;8.63E+15;9.99E+15;SEKER
32323;64959;2.17E+15;1.90E+16;1.15E+16;4.89E+16;32615;2.03E+16;7.85E+15;9.91E+14;9.63E+15;9.33E+15;6.72E+15;3.15E+16;8.71E+15;9.99E+15;SEKER
32338;6.54E+15;2.21E+16;1.86E+15;1.19E+16;5.42E+15;32672;2.03E+16;7.82E+15;9.90E+15;9.51E+15;;6.85E+15;2.98E+16;8.40E+15;9.99E+15;SEKER
32355;657166;2.21E+15;1.86E+16;1.19E+16;5.39E+15;32720;2.03E+16;7.84E+15;9.89E+15;9.41E+15;9.17E+15;6.84E+15;2.99E+15;8.41E+15;9.99E+15;SEKER
32368;6.75E+15;2.22E+16;1.86E+16;1.19E+16;5.43E+15;32806;2.03E+16;7.59E+15;9.87E+15;8.92E+15;;6.85E+15;2.97E+16;8.39E+14;9.99E+15;SEKER
32376;643009;2.19E+15;1.88E+16;1.16E+15;5.11E+14;32608;2.03E+16;7.84E+15;9.93E+15;9.84E+15;9.27E+15;6.77E+15;3.08E+14;8.58E+15;9.99E+15;SEKER
32433;65376;2.20E+16;1.88E+16;1.17E+16;5.18E+15;32775;2.03E+16;7.69E+15;9.90E+15;9.54E+15;9.24E+15;6.78E+15;3.05E+15;8.54E+15;9.99E+15;SEKER
32465;65385;2.25E+16;1.84E+16;1.23E+16;5.79E+15;32767;2.03E+16;7.65E+15;9.91E+15;9.54E+15;9.03E+15;6.94E+15;2.84E+16;8.15E+15;9.99E+15;SEKER
32514;649012;2.21E+15;1.87E+15;1.18E+16;5.35E+14;32843;2.03E+16;7.85E+15;9.90E+15;9.70E+15;;6.81E+15;2.99E+15;8.44E+14;9.99E+15;SEKER
32518;651651;2.21E+16;1.87E+15;1.18E+16;5.33E+14;32811;2.03E+16;7.59E+15;9.91E+15;9.62E+15;9.20E+15;6.80E+15;3.00E+16;8.46E+14;9.99E+14;SEKER
32518;655131;2.21E+16;1.88E+16;1.18E+16;5.27E+15;32842;2.03E+16;7.94E+15;9.90E+15;9.52E+15;;6.79E+15;3.02E+16;8.49E+15;9.99E+14;SEKER
32525;6.64E+15;2.25E+16;1.84E+15;1.22E+15;5.75E+15;33000;;7.69E+15;9.86E+15;;;6.92E+15;2.85E+16;8.17E+15;9.99E+15;SEKER
32578;657571;2.27E+16;1.83E+16;1.24E+16;5.93E+15;32901;2.04E+16;7.82E+15;9.90E+15;9.47E+15;8.97E+14;6.97E+15;2.78E+16;8.05E+15;9.99E+15;SEKER
32581;649583;2.24E+16;1.85E+16;1.21E+15;5.67E+15;32851;2.04E+16;7.72E+15;9.92E+15;9.70E+15;;6.89E+16;2.88E+15;8.24E+14;1.00E+16;SEKER
32615;6.65E+15;2.18E+14;1.91E+13;1.14E+16;4.83E+16;33016;2.04E+16;8.09E+15;9.88E+15;9.27E+15;;6.69E+15;3.14E+16;8.73E+15;9.97E+15;SEKER
32622;657009;2.35E+15;1.77E+16;1.33E+16;6.58E+15;32902;2.04E+15;7.79E+15;9.91E+15;9.50E+15;;7.21E+16;2.50E+15;7.50E+15;9.97E+15;SEKER
32698;6.53E+15;2.25E+15;1.85E+14;1.22E+15;5.68E+15;32994;2.04E+16;7.68E+15;9.91E+15;9.63E+15;9.07E+15;6.88E+15;2.87E+15;8.22E+15;9.99E+15;SEKER
32705;654454;2.24E+16;1.86E+16;1.20E+14;5.56E+15;33021;2.04E+15;7.79E+15;9.90E+15;9.60E+15;;6.85E+15;2.91E+15;8.31E+15;9.99E+15;SEKER
32713;660043;2.15E+15;1.93E+16;1.11E+15;4.40E+15;33020;;8.00E+15;9.91E+14;;9.47E+15;6.59E+14;3.27E+16;8.98E+15;9.99E+15;SEKER
32729;6.57E+15;2.14E+15;1.95E+16;1.10E+16;4.17E+15;33066;2.04E+16;7.69E+14;9.90E+15;9.54E+15;9.53E+15;6.55E+15;3.33E+15;9.08E+15;9.98E+15;SEKER
32774;6.61E+15;2.23E+15;1.87E+16;1.19E+16;5.41E+14;33120;2.04E+16;7.90E+15;9.90E+15;9.44E+15;9.17E+14;6.80E+15;2.96E+16;8.40E+15;9.99E+15;SEKER
32775;649807;2.20E+15;1.90E+16;1.16E+16;5.06E+15;33062;2.04E+16;7.73E+15;9.91E+15;9.75E+15;9.28E+14;6.71E+15;3.08E+15;8.62E+15;9.99E+15;SEKER
32795;65103;2.25E+16;1.86E+16;1.21E+16;5.66E+15;33091;2.04E+16;7.76E+15;9.91E+15;9.72E+15;9.07E+15;6.87E+15;2.87E+16;8.23E+15;9.99E+14;SEKER
32796;654824;2.23E+16;1.87E+16;1.19E+16;5.43E+15;33111;2.04E+16;8.01E+15;9.90E+15;9.61E+15;;6.80E+15;2.95E+16;8.39E+15;9.98E+15;SEKER
32799;6.54E+15;2.20E+15;1.90E+16;1.16E+16;5.03E+15;33087;2.04E+15;7.46E+15;9.91E+15;9.64E+15;9.29E+15;6.70E+16;3.08E+16;8.64E+15;9.99E+15;SEKER
32829;658101;2.22E+16;1.89E+16;1.17E+16;5.22E+15;33154;2.04E+16;7.90E+15;9.90E+14;9.53E+15;9.23E+15;6.75E+15;3.02E+16;8.51E+15;9.98E+15;SEKER
32836;6.69E+15;2.18E+16;1.92E+16;1.14E+16;4.79E+15;33225;2.04E+16;8.03E+14;9.88E+15;9.21E+14;9.36E+15;6.65E+15;3.15E+16;8.76E+15;9.98E+14;SEKER
32849;664105;2.31E+15;1.82E+15;1.27E+16;6.16E+15;33245;2.05E+16;7.47E+15;9.88E+15;9.36E+15;;7.02E+12;2.67E+15;7.86E+15;9.97E+15;SEKER
32870;6.56E+15;2.20E+16;1.90E+16;1.16E+15;5.06E+13;33198;2.05E+16;7.81E+14;9.90E+14;9.61E+15;;6.70E+15;3.07E+16;8.62E+15;9.99E+15;SEKER
32885;659728;2.27E+16;1.85E+16;1.23E+16;5.83E+15;33225;2.05E+16;7.86E+15;9.90E+15;9.49E+15;;6.90E+14;2.81E+16;8.12E+14;9.99E+15;SEKER
32920;671612;2.19E+16;1.91E+16;1.14E+16;4.86E+16;33376;2.05E+16;7.78E+15;9.86E+15;9.17E+15;9.34E+15;6.66E+15;3.13E+14;8.73E+15;9.99E+14;SEKER
32925;656646;2.25E+16;1.86E+16;1.21E+16;5.60E+14;33252;2.05E+15;7.69E+15;9.90E+15;9.60E+15;9.09E+14;6.84E+15;2.89E+14;8.27E+15;9.99E+15;SEKER
32934;6.68E+15;2.21E+16;1.90E+15;1.17E+16;5.16E+15;33401;2.05E+16;7.77E+15;9.86E+15;9.27E+15;9.25E+15;6.72E+14;3.03E+16;8.55E+15;9.99E+15;SEKER
32947;6.68E+15;2.10E+16;2.00E+15;1.05E+16;2.97E+16;33336;2.05E+16;7.65E+15;9.88E+14;9.27E+15;;6.36E+15;3.57E+16;9.54E+15;9.99E+15;SEKER
32951;6.88E+15;2.27E+16;1.86E+15;1.22E+16;5.74E+15;33524;2.05E+15;7.71E+15;9.83E+15;8.74E+15;9.04E+15;6.88E+16;2.83E+16;8.17E+15;9.98E+15;SEKER
32988;676797;2.25E+16;1.87E+16;1.20E+16;5.54E+15;33461;2.05E+16;7.67E+15;9.86E+15;9.05E+15;9.12E+15;6.81E+15;2.91E+15;8.31E+15;9.98E+15;SEKER
33006;669769;2.24E+16;1.88E+15;1.19E+15;5.39E+15;33458;2.05E+16;7.57E+15;9.86E+15;9.25E+15;9.17E+15;6.77E+16;2.96E+16;8.41E+15;9.99E+15;SEKER
33010;66585;2.25E+16;1.87E+15;1.20E+16;5.57E+15;33374;2.05E+16;7.92E+15;9.89E+14;9.36E+15;;6.82E+15;2.90E+14;8.30E+15;1.00E+15;SEKER
33013;652684;2.24E+16;1.88E+16;1.19E+16;5.42E+15;33289;2.05E+15;7.90E+15;9.92E+15;9.74E+15;9.16E+15;6.78E+15;2.95E+16;8.39E+15;9.99E+15;SEKER
33019;6.56E+15;2.24E+16;1.88E+16;1.20E+16;5.50E+15;33340;2.05E+16;7.64E+15;9.90E+15;9.65E+15;;6.80E+14;2.92E+15;8.35E+15;9.99E+15;SEKER
33051;663071;2.19E+16;1.92E+16;1.14E+15;4.77E+16;33423;2.05E+16;7.78E+15;9.89E+15;9.45E+15;9.37E+14;6.62E+13;3.15E+15;8.78E+13;9.99E+15;SEKER
33058;655511;2.24E+16;1.88E+15;1.19E+16;5.47E+15;33320;2.05E+16;7.99E+15;9.92E+15;9.67E+15;9.14E+15;6.79E+15;2.92E+15;8.36E+15;9.98E+15;SEKER
33062;667966;2.22E+16;1.90E+16;1.17E+16;5.19E+15;33439;2.05E+16;7.79E+15;9.89E+15;9.31E+15;;6.72E+15;3.02E+15;8.54E+15;9.99E+15;SEKER
33078;6.59E+15;2.36E+14;1.79E+15;1.32E+16;6.50E+15;33333;2.05E+16;7.88E+15;9.92E+14;9.56E+15;8.71E+15;7.12E+15;2.53E+16;7.59E+15;9.99E+15;SEKER
33078;6.52E+15;2.21E+15;1.90E+16;1.16E+16;5.11E+15;33327;2.05E+16;7.72E+15;9.93E+15;9.77E+15;;6.69E+16;3.05E+16;8.59E+15;9.99E+15;SEKER
33089;663915;2.17E+16;1.94E+16;1.12E+16;4.49E+15;33466;2.05E+16;7.74E+15;9.89E+14;9.43E+15;;6.57E+15;3.22E+16;8.92E+15;9.98E+15;SEKER
33090;653809;2.28E+16;1.85E+15;1.24E+16;5.88E+15;33352;2.05E+15;7.69E+15;9.92E+15;9.73E+15;8.99E+15;6.90E+15;2.78E+14;8.08E+15;9.99E+15;SEKER
33143;6.48E+15;2.23E+16;1.90E+16;1.17E+16;5.22E+15;33377;;7.70E+14;9.93E+15;;;6.71E+15;3.01E+16;8.52E+15;9.99E+15;SEKER
33159;6.54E+15;2.22E+16;1.90E+16;1.17E+16;5.20E+14;33415;2.05E+15;7.88E+14;9.92E+14;9.75E+15;;6.71E+15;3.01E+15;8.53E+14;9.99E+15;SEKER
33168;6.81E+15;2.34E+16;1.81E+16;1.30E+16;6.37E+15;33542;2.06E+16;7.61E+15;9.89E+15;9.00E+15;;7.06E+15;2.58E+16;7.69E+15;9.98E+15;SEKER
33171;6.54E+15;2.22E+15;1.90E+16;1.17E+16;5.16E+15;33429;;7.90E+15;9.92E+15;;9.25E+15;6.70E+15;3.02E+16;8.55E+13;9.98E+15;SEKER
33194;6.65E+15;2.32E+16;1.82E+16;1.28E+16;6.21E+15;33520;2.06E+16;7.74E+15;9.90E+15;9.44E+14;8.85E+15;7.00E+16;2.65E+16;7.83E+14;9.99E+15;SEKER
33236;660788;2.11E+16;2.01E+16;1.05E+16;3.03E+15;33611;2.06E+14;7.68E+15;9.89E+14;9.57E+15;9.76E+15;6.34E+15;3.55E+15;9.52E+15;9.99E+15;SEKER
33248;6.60E+15;2.31E+16;1.83E+16;1.26E+16;6.08E+15;33511;2.06E+16;7.88E+15;9.92E+15;9.59E+15;8.91E+15;6.95E+14;2.70E+16;7.94E+15;9.99E+15;SEKER
33251;658962;2.17E+16;1.95E+16;1.12E+16;4.43E+16;33565;2.06E+15;7.58E+15;9.91E+13;9.62E+15;9.46E+15;6.54E+15;3.23E+16;8.95E+15;9.99E+15;SEKER
33276;7.04E+15;2.35E+16;1.81E+15;1.30E+16;6.38E+15;33857;2.06E+16;7.60E+14;9.83E+15;8.43E+15;8.77E+15;7.06E+15;2.57E+16;7.69E+15;9.99E+15;SEKER
33316;670587;2.29E+15;1.85E+16;1.24E+16;5.89E+15;33699;2.06E+16;7.83E+15;9.89E+15;9.31E+14;;6.88E+16;2.77E+15;8.07E+15;9.99E+15;SEKER
33319;6.69E+15;2.25E+16;1.89E+15;1.19E+16;5.44E+15;33732;2.06E+16;7.96E+15;9.88E+15;9.37E+15;;6.75E+14;2.92E+16;8.38E+14;9.98E+15;SEKER
33325;674433;2.24E+16;1.90E+16;1.18E+15;5.30E+15;33701;2.06E+16;7.99E+15;9.89E+15;9.21E+15;9.20E+15;6.72E+16;2.97E+15;8.47E+15;9.99E+15;SEKER
33330;653776;2.24E+16;1.89E+15;1.18E+16;5.36E+15;33580;2.06E+16;7.90E+15;9.93E+15;9.80E+15;9.18E+15;6.73E+15;2.95E+15;8.43E+14;9.98E+13;SEKER
33333;679262;2.21E+15;1.93E+14;1.14E+15;4.86E+15;33834;2.06E+16;7.72E+15;9.85E+15;9.08E+15;;6.62E+16;3.11E+15;8.73E+15;9.99E+15;SEKER
33338;659103;2.32E+16;1.83E+16;1.27E+16;6.16E+15;33639;;7.77E+15;9.91E+15;;8.87E+14;6.97E+15;2.66E+15;7.87E+15;9.99E+15;SEKER
33344;6.62E+15;2.25E+16;1.89E+16;1.19E+16;5.47E+15;33692;2.06E+16;7.63E+15;9.90E+15;9.58E+15;9.14E+15;6.76E+15;2.91E+16;8.36E+15;9.99E+15;SEKER
33382;6.59E+15;2.23E+16;1.91E+16;1.17E+16;5.16E+15;33730;2.06E+16;7.82E+15;9.90E+15;9.65E+15;9.25E+15;6.68E+15;3.02E+16;8.56E+15;9.99E+15;SEKER
33399;6.65E+15;2.22E+15;1.92E+15;1.15E+16;4.98E+16;33752;2.06E+15;7.61E+15;9.90E+15;9.50E+15;;6.63E+15;3.07E+16;8.66E+15;9.99E+15;SEKER
33421;654804;2.20E+16;1.94E+15;1.13E+16;4.68E+15;33691;2.06E+16;7.63E+15;9.92E+15;9.80E+15;;6.57E+16;3.16E+15;8.83E+15;9.99E+14;SEKER
33423;659036;2.24E+16;1.90E+15;1.18E+16;5.31E+15;33707;2.06E+16;7.73E+15;9.92E+15;9.67E+15;9.20E+15;6.71E+14;2.97E+15;8.47E+15;9.99E+15;SEKER
33427;6.66E+15;2.28E+16;1.87E+16;1.22E+15;5.76E+15;33789;2.06E+16;7.54E+15;9.89E+15;9.48E+15;9.04E+15;6.83E+16;2.81E+15;8.17E+15;9.99E+15;SEKER
33429;658605;2.29E+16;1.86E+15;1.24E+16;5.87E+15;33713;2.06E+16;7.92E+14;9.92E+14;9.68E+15;8.99E+15;6.86E+15;2.77E+15;8.08E+15;9.99E+15;SEKER
33431;666841;2.20E+16;1.94E+15;1.14E+16;4.74E+15;33788;2.06E+16;7.89E+15;9.89E+15;9.45E+15;;6.58E+16;3.14E+16;8.80E+13;9.99E+15;SEKER
33433;657349;2.25E+16;1.90E+16;1.19E+16;5.39E+15;33708;2.06E+16;7.77E+13;9.92E+15;9.72E+15;9.17E+15;6.73E+15;2.94E+16;8.41E+15;9.98E+15;SEKER
33446;656077;2.24E+16;1.90E+16;1.18E+16;5.29E+15;33713;2.06E+16;7.68E+15;9.92E+14;9.76E+15;;6.70E+15;2.97E+15;8.47E+15;9.98E+15;SEKER
33447;6.64E+15;2.26E+16;1.89E+16;1.20E+16;5.51E+15;33791;2.06E+16;7.70E+15;9.90E+15;9.52E+15;9.13E+15;6.76E+15;2.89E+16;8.33E+15;9.98E+15;SEKER
33459;6.55E+15;2.19E+15;1.95E+16;1.13E+16;4.60E+16;33765;2.06E+16;7.86E+15;9.91E+15;9.79E+15;;6.55E+16;3.18E+16;8.87E+15;9.99E+15;SEKER
33468;659987;2.24E+16;1.90E+16;1.18E+15;5.33E+15;33748;2.06E+15;7.92E+15;9.92E+15;9.66E+15;9.20E+15;6.71E+15;2.96E+15;8.46E+15;9.99E+15;SEKER
33498;657523;2.28E+16;1.87E+16;1.22E+16;5.70E+15;33745;2.07E+15;7.81E+14;9.93E+15;9.74E+15;9.06E+15;6.80E+15;2.83E+16;8.21E+15;9.99E+15;SEKER
33534;657067;2.19E+16;1.95E+16;1.12E+15;4.52E+15;33793;2.07E+16;7.84E+15;9.92E+15;9.76E+15;9.44E+15;6.53E+15;3.20E+15;8.92E+15;1.00E+16;SEKER
33538;6.58E+15;2.28E+16;1.88E+15;1.21E+16;5.64E+15;33800;2.07E+15;7.61E+15;9.92E+15;9.73E+15;9.08E+15;6.78E+15;2.85E+16;8.25E+15;9.99E+15;SEKER
33539;662418;2.24E+16;1.91E+16;1.17E+16;5.19E+14;33915;2.07E+16;7.64E+15;9.89E+15;9.60E+15;9.24E+15;6.67E+16;3.00E+16;8.53E+15;9.98E+15;SEKER
33547;653512;2.14E+15;2.00E+16;1.07E+15;3.54E+15;33832;2.07E+16;7.84E+15;9.92E+14;9.87E+15;9.67E+15;6.37E+15;3.43E+16;9.35E+15;9.99E+14;SEKER
33560;669259;2.28E+15;1.88E+16;1.21E+16;5.66E+15;33897;2.07E+16;7.40E+15;9.90E+15;9.42E+15;9.07E+15;6.79E+13;2.83E+16;8.22E+15;9.98E+15;SEKER
